id_mk,kode_mk,nama_mk,sks_mk,teori_mk,praktek_mk,progdi_mk,smt_mk
,USM13 1.01,PANCASILA,2,2,0,TI,1
,USM13 1.02,STATISTIKA,2,2,0,TI,1
,USM13 1.03,BAHASA INGGRIS,2,2,0,TI,1
,TIS13 1.01,LOGIKA MATEMATIKA,2,2,0,TI,1
,TIS13 1.02,SISTEM INFORMASI MANAJEMEN,3,3,0,TI,1
,TIS13 1.03P,SISTEM DIGITAL,3,1,2,TI,1
,TIS13 1.04P,PENGANTAR TEKNOLOGI INFORMASI,3,2,1,TI,1
,TIS13 1.05P,BASIS DATA,3,2,1,TI,1
,USM13 2.04P,OLAH RAGA,1,0,1,TI,2
,TIS13 2.06,METODE NUMERIK,2,2,0,TI,2
,TIS13 2.07P,ORGANISASI KOMPUTER,3,2,1,TI,2
,TIS13 2.08P,DESAIN GRAFIS,2,1,1,TI,2
,TIS13 2.09P,ANALISIS &PERANC. BERORIENTASI OBJEK,2,1,1,TI,2
,TIS13 2.10P,ALGORITMA DAN STRUKTUR DATA,4,2,2,TI,2
,TIS13 2.11P,PENGANTAR WEB,3,2,1,TI,2
,TIS13 2.12P,MULTIMEDIA,3,1,2,TI,2
,USM13 3.05,PENDIDIKAN KEWARGANEGARAAN,2,2,0,TI,3
,TIS13 3.13P,SISTEM OPERASI,3,2,1,TI,3
,TIS13 3.14P,JARINGAN KOMPUTER,4,2,2,TI,3
,TIS13 3.15,SISTEM PENDUKUNG KEPUTUSAN,3,3,0,TI,3
,TIS13 3.16,SISTEM PENDUKUNG KEPUTUSAN,3,3,0,TI,3
,TIS13 3.16P,PEMROGRAMAN BASIS DATA,3,1,2,TI,3
,TIS13 3.17P,PEMROGRAMAN BERORIENTASI OBJEK,4,2,2,TI,3
,TIS13 3.19P,DATABASE ADMINISTRATOR *),3,2,1,TI,3
,USM13 4.06,BAHASA INDONESIA,2,2,0,TI,4
,TIS13 4.20P,INTERAKSI MANUSIA DAN KOMPUTER,2,1,1,TI,4
,TIS13 4.21P,MANAJEMEN JARINGAN,2,1,1,TI,4
,TIS13 4.22P,PEMROGRAMAN WEB,3,1,2,TI,4
,TIS13 4.23P,ANIMASI KOMPUTER,2,1,1,TI,4
,TIS13 4.24P,OPEN SOURCE SYSTEMS,3,1,2,TI,4
,TIS13 4.25,PENGUJIAN SISTEM,2,2,0,TI,4
,TIS13 4.26P,KECERDASAN BUATAN,4,2,2,TI,4
,TIS13 4.28P,FUZZY LOGIC *),3,2,1,TI,4
,TIS13 5.30,BAHASA INGGRIS ILMIAH,2,2,0,TI,5
,TIS13 5.31,METODOLOGI PENELITIAN,3,3,0,TI,5
,TIS13 5.32P,DATA MINING,2,1,1,TI,5
,TIS13 5.33P,REKAYASA PERANGKAT LUNAK,4,2,2,TI,5
,TIS13 5.34P,KOMUNIKASI DAN KEAMANAN DATA,4,2,2,TI,5
,TIS13 5.35P,PEMROGRAMAN FRAMEWORK,4,2,2,TI,5
,TIS13 5.37P,MIKROPROSESOR DAN ANTAR MUKA *),3,2,1,TI,5
,TIS13 6.38P,KERJA PRAKTEK,2,0,2,TI,6
,TIS13 6.39P,REKAYASA WEB,3,1,2,TI,6
,TIS13 6.40P,SIMULASI DAN GAME,3,1,2,TI,6
,TIS13 6.41P,MANAJEMEN PROYEK PERANGKAT LUNAK,4,2,2,TI,6
,TIS13 6.42P,PENGOLAHAN CITRA,3,1,2,TI,6
,TIS13 6.43P,KULIAH KERJA NYATA **),3,0,3,TI,6
,TIS13 6.44P,ORACLE WDP **),3,0,3,TI,6
,TIS13 6.45P,PEMROGRAMAN FRAMEWORK JAVA *),3,2,1,TI,6
,USM13 7.07,PENDIDIKAN AGAMA,2,2,0,TI,7
,TIS13 7.48P,KEWIRAUSAHAAN,3,2,1,TI,7
,TIS13 7.49,ETIKA PROFESI,2,2,0,TI,7
,TIS13 7.50P,MOBILE PROGRAM,4,2,2,TI,7
,TIS13 8.51P,TUGAS AKHIR,6,4,0,TI,8
,USM13 1.03,Pendidikan Agama,2,2,0,SI,1
,USM13 1.01,Pancasila,2,2,0,SI,1
,SIS13 1.01,Konsep Sistem Informasi,3,3,0,SI,1
,SIS13 1.02,Ekonomi,3,3,0,SI,1
,SIS13 1.03P,Algoritma & Pemrograman,4,2,2,SI,1
,SIS13 1.04,Pengantar Teknologi Sistem Informasi,2,2,0,SI,1
,SIS13 1.04P,Pengantar Dasar Komputer,2,0,2,SI,1
,USM13 1.05,Matematika,2,2,0,SI,1
,USM13 2.04P,OlahRaga,1,0,0,SI,2
,SIS13 2.05P,Bahasa Inggris,2,1,1,SI,2
,SIS13 2.06P,Basis Data,4,2,2,SI,2
,SIS13 2.07P,Struktur Data,4,3,1,SI,2
,SIS13 2.08P,Statistik & Probabilitas,3,2,1,SI,2
,SIS13 2.09P,Sistem Operasi,3,2,1,SI,2
,SIS13 2.010,Sistem Informasi Manajemen,3,3,0,SI,2
,SIS13 3.11P,Sistem Informasi Akuntansi,4,3,1,SI,3
,SIS13 3.12,Interaksi Manusia & Komputer,3,3,0,SI,3
,USM13 3.06,Bahasa Indonesia,2,2,0,SI,3
,USM13 3.02,Pendidikan Kewarganegaraan,2,2,0,SI,3
,SIS13 3.13P,Pemrograman Database,5,2,3,SI,3
,SIS13 3.14P,Jaringan & Komunikasi,4,2,2,SI,3
,SIS13 3.15,Business Project Manajement,4,4,0,SI,3
,SIS13 4.40P,Analisa & Perancangan Sistem Informasi,4,2,2,SI,4
,SIS13 4.16P,Desain Sistem Informasi,3,1,2,SI,4
,SIS13 4.17P,Pemrograman Visual,4,2,2,SI,4
,SIS13 4.18P,Desain & Pemrograman WEB,4,2,2,SI,4
,SIS13 4.19P,Kecerdasan Buatan,4,2,2,SI,4
,SIS13 4.20P,Rekayasa Perangkat Lunak,4,2,2,SI,4
,SIS13 4.21P,Multimedia,2,0,2,SI,4
,SIS13 5.24P,Pemrograman Aplikasi Bisnis,4,2,2,SI,5
,SIS13 5.25P,Sistem Pendukung Keputusan,5,3,2,SI,5
,SIS13 5.26P,Pemrograman Berorientasi Objek,4,2,2,SI,5
,SIS13 5.27P,Metodologi Penelitian,3,2,1,SI,5
